publication_id,Lien Google Scholar,Editors,Book,Publisher,chercheur,chercheur_id,Titre_publication,Auteurs,Lien,Journal,Conference,date_publication,Volumes,nombre_pages,Type
mdroa2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qMYUliQAAAAJ&citation_for_view=qMYUliQAAAAJ:5qfkUJPXOUwC,Elsevier,,,CHALAL Rachid,12,MDA4SOA+ d: A new model driven architecture to supporting decision making in SOA,Fatima Boumahdi and Hadi Oqaibi and Rachid Chalal and Hamza Hentabli and Amina Madani,,Journal of King Saud University-Computer and Information Sciences,,2023,35,101544,journal
thsdy2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:qjMakFHDy7sC,IEEE,,,DELLYS hachemi ,16,Threats models on biometri systems: A comparative study,Dellys Hachemi Nabil and Benatchba Karima and Koudil Mouloud and Bouridane Ahmed,,,2012 Fourth International Conference on Computational Aspects of Social Networks (CASoN),2012,,186-191,conference
exmes2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:2osOgNQ5qMEC,IEEE,,IEEE,DELLYS hachemi ,16,Extraction method of Region of Interest from hand palm: Application with contactless and touchable devices,Artabaz Saliha and Benatchba Karima and Koudil Mouloud and Dellys Hachemi Nabil and Bouridane Ahmed,https://doi.org/10.1109/ISIAS.2014.7064624,,2014 10th International Conference on Information Assurance and Security,2014,,77-82,conference
acres2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:u5HHmVD_uO8C,Springer International Publishing,,Springer,DELLYS hachemi ,16,A critical comparison of fingerprint fuzzy vault techniques,Hachemi Nabil Dellys and Noussaiba Benadjimi and Meriem Romaissa Boubakeur and Layth Sliman and Karima Benatchba and Saliha Artabaz and Mouloud Koudil,https://doi.org/10.1007/978-3-319-25939-0_16,,"Advances in Visual Informatics: 4th International Visual Informatics Conference, IVIC 2015, Bangi, Malaysia, November 17-19, 2015, Proceedings 4",2015,,178-188,conference
fiiod2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:d1gkVwhDpl0C,IEEE,,IEEE,DELLYS hachemi ,16,Fingerprint fuzzy vault chaff point generation by squares method,Hachemi Nabil Dellys and Noussaiba Benadjimi and Meriem Romaissa Boubakeur and Layth Sliman and Fathelalem Ali,https://doi.org/10.1109/SOCPAR.2015.7492773,,2015 7th International Conference of Soft Computing and Pattern Recognition (SoCPaR),2015,,357-362,conference
pases2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:UeHWp8X0CEIC,,,,DELLYS hachemi ,16,Palmprint recognition system: Case Study with different databases.,Artabaz Saliha and Dellys Hachemi Nabil and Benatchba Karima and Koudil Mouloud and Bouridane Ahmed,,Journal of Information Assurance & Security,,2015,10,,journal
scyem2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:9yKSN-GCB0IC,Springer International Publishing,,Springer,DELLYS hachemi ,16,Score level fusion scheme in hybrid multibiometric system,Saliha Artabaz and Layth Sliman and Karima Benatchba and Hachemi Nabil Dellys and Mouloud Koudil,https://doi.org/10.1007/978-3-319-25939-0_15,,"Advances in Visual Informatics: 4th International Visual Informatics Conference, IVIC 2015, Bangi, Malaysia, November 17-19, 2015, Proceedings 4",2015,,166-177,conference
chplt2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:u-x6o8ySG0sC,,,,DELLYS hachemi ,16,Chaff Point Generation by Squares Method Using Composite Representation in Fingerprint Fuzzy Vault.,Hachemi Nabil Dellys and Noussaiba Benadjimi and Meriem Romaissa Boubakeur and Layth Sliman and Fathelalem Ali,,Journal of Information Assurance & Security,,2016,11,,journal
chblt2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:IjCSPb-OGe4C,,,Springer,DELLYS hachemi ,16,Chaff-Points Generation Using Knapsack problem resolution in Fingerprint Fuzzy Vault,Mouloud Koudil Hachemi Nabil Dellys. and Layth Sliman. and Saliha Artabaz. and Karima Benatchba.,https://doi.org/10.1007/978-3-319-52941-7_50,,16th International Conference on Hybrid Inteligent System (HIS),2016,,507-516,conference
efolt2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:Tyk-4Ss8FVUC,,,,DELLYS hachemi ,16,Efficiency of Feature Representation on Points-Alignment in Fingerprint Fuzzy Vault,Karima Benatchba and Mouloud Koudil Hachemi Nabil Dellys and Layth Sliman and Saliha Artabaz,,,VIIS 2016,2016,,,conference
muaon2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:zYLM7Y9cAGgC,,,Springer,DELLYS hachemi ,16,Multibiometrics enhancement using quality measurement in score level fusion,Karima Benatchba and Mouloud Koudil Saliha Artabaz and Hachemi Nabil Dellys and Layth Sliman,https://doi.org/10.1007/978-3-319-53480-0_26,,ISDA 2016,2016,,260-267,conference
chblt2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:Y0pCki6q_DkC,Springer International Publishing,,,DELLYS hachemi ,16,Chaff-Points Generation Using Knapsack Problem Resolution in Fingerprint Fuzzy Vault,Hachemi Nabil Dellys and Layth Sliman and Saliha Artabaz and Karima Benatchba and Mouloud Koudil,,,Proceedings of the 16th International Conference on Hybrid Intelligent Systems (HIS 2016),2017,,507-516,conference
chnes2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:YsMSGLbcyi4C,IEEE,,IEEE,DELLYS hachemi ,16,Chaff-Points Generation Method Based on Adaptive Genetic Algorithms and Non-Fixed Size Squares Boundaries for Resource Constrained Devices,Hachemi Nabil Dellys and Karima Benatchba and Layth Sliman and Yen Wei Chen,https://doi.org/10.1109/NTMS.2018.8328727,,"2018 9th IFIP International Conference on New Technologies, Mobility and Security (NTMS)",2018,,1-4,conference
sea182018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:eQOLeE2rZwMC,IEEE,,IEEE Computer Society,DELLYS hachemi ,16,"Security, safety and confidentiality in iot for collaborative business technologies (SSCIoT track of WETICE 2018)",Layth Sliman and Hachemi Nabil Dellys,https://doi.org/10.1109/WETICE.2018.00041,,2018 IEEE 27th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises (WETICE),2018,,179-180,conference
onnlt2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:WF5omc3nYNoC,IEEE,,,DELLYS hachemi ,16,On Efficiency of Square-Boundaries Chaff Points Generation With Composite Representation in Fingerprint Fuzzy Vault,Hachemi Nabil Dellys and Layth Sliman and Brendan Tran Morris and Karima Benatchba,https://doi.org/10.1109/ACCESS.2024.3438076,IEEE Access,,2024,12,110691-110704,journal
vieew2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DSsOZeEAAAAJ&citation_for_view=DSsOZeEAAAAJ:ufrVoPGSRksC,Elsevier,,Elsevier,DELLYS hachemi ,16,Vision-based Human Fall Detection Systems: A Review,Asma Benkaci and Layth Sliman and Hachemi Nabil Dellys,https://doi.org/10.1016/j.procs.2024.08.028,,"19th International Conference on Future Networks and Communications / 21st International Conference on Mobile Systems and Pervasive Computing / 14th International Conference on Sustainable Energy Information Technology (FNC/MobiSPC/SEIT 2024), August 5-7, 2024, Marshall University, Huntington, WV, USA",2024,241,203-211,conference
gntls1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:B3FOqHPlNUQC,,,,GHOMARI Abdessamed Réda,18,Génie Logiciel: méthodes et outils,Abdessamed Réda Ghomari,,,"3èmes journées Informatiques de Sonelgaz, Aurassi, Alger",1995,,,conference
emaet1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:7PzlFSSx8tAC,,,,GHOMARI Abdessamed Réda,18,"E.M.C.A (Environnement Informatique pour les Méthodes de Classification Automatique), basé sur une modélisation Objet",Abdessamed Réda GHOMARI,,,"CARI'96 (Colloque Africain sur la Recherche en Informatique), Libreville, Gabon",1996,,,conference
ounls1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:UxriW0iASnsC,CDTA,,,GHOMARI Abdessamed Réda,18,Outil d'aide au diagnostic des pannes des équipements industriels,Rachid Chalal and Abdessamed Réda Ghomari,,"RIST (Revue Internationale des Technologies Avancées), CDTA",,1996,9,,journal
veeue1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:738O_yMBCRsC,,,,GHOMARI Abdessamed Réda,18,Vers un Environnement Informatique pour les Méthodes de Classification Automatique,Abdessamed Réda Ghomari,,,"4ème Rencontre de Recherche Opérationnelle, USTHB, Alger",1996,,,conference
ortes1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:RYcK_YlVTxYC,,,,GHOMARI Abdessamed Réda,18,Organisation: des systèmes socio-techniques,Abdessamed Réda GHOMARI,,,,1999,,,
inels2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:sSrBHYA8nusC,,,,GHOMARI Abdessamed Réda,18,Incidence des NTIC sur les systèmes décisionnels,Abdessamed Réda Ghomari,,,"Séminaire Algéro-Canadien, Alger.",2000,,,conference
kdnes2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:dhFuZR0502QC,,,,GHOMARI Abdessamed Réda,18,"K-Discover, un outil de découverte de connaissances à partir de bases de données",Lotfi Admane and Abdessamed Réda Ghomari,,,"CARI'2000 (Colloque Africain sur la Recherche en Informatique), Antananarivo, Madagascar",2000,,,conference
unbrc2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:zA6iFVUQeVQC,,,,GHOMARI Abdessamed Réda,18,Un modèle de projet et une mémoire de projet pour l'aide à l'élaboration de cahiers de charges au sein de SONATRACH TRC,R Benferhat and D Boukraa and L Admane and AR Ghomari and S Bouachama and M Terr and AM Alquier and MH Tignol,,,"MCSEAI'2002, Annaba, Algérie",2002,,,conference
aceal2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:-f6ydRqryjwC,,,,GHOMARI Abdessamed Réda,18,"ACV, outil pour le Management Environnemental",Salaheddine Bouchama and Abdessamed Réda Ghomari and Rachid Chalal and Fahima Nader and Anne-Marie Alquier,,,"IFC'03 (International Finance Conference), Hamammet, Tunisie",2003,,,conference
cohes2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:XiSMed-E-HIC,,,,GHOMARI Abdessamed Réda,18,Conception de SI sécurisés : approche centrée management des risques,Abdessamed Réda Ghomari,,,"Inforum'2003, Séminaire sur la sécurité des SI, Sonatrach, El Aurassi, Alger",2003,,,conference
luvie2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:p2g8aNsByqUC,,,,GHOMARI Abdessamed Réda,18,L'utilisation donne sa valeur à la technologie,Abdessamed Réda Ghomari,,,"Journée d'étude sur les T.I.C, ENA (Ecole Nationale d'Administration), Alger",2003,,,conference
ous432003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:TQgYirikUcIC,,,,GHOMARI Abdessamed Réda,18,Outil Support à une Analyse Environnementale des Produits Basée sur la Série de Normes ISO 14040-43,Rachid Chalal and Abdessamed Réda Ghomari,,,"ICPWE'03, Laboratoire LMER, Université de Tlemcen, Algerie",2003,,,conference
inles2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:geHnlv5EZngC,,,,GHOMARI Abdessamed Réda,18,Informatique décisionnelle : Enjeux et perspectives,Abdessamed Réda Ghomari,,,"Journée d'Etude sur les SII (Systèmes d'Information Intelligents), CGN, Alger",2004,,,conference
stnta2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:zYLM7Y9cAGgC,IEEE,,,GHOMARI Abdessamed Réda,18,Strategic decision support systems design: integration approach between expert knowledge and historical data,Abdessamed Réda Ghomari,,,"Proceedings. 2004 International Conference on Information and Communication Technologies: From Theory to Applications, 2004.",2004,,553-554,conference
tooms2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:4DMP91E08xMC,,,,GHOMARI Abdessamed Réda,18,Towards a knowledge acquisition mixed approach for strategic decision support systems.,Abdessamed Réda GHOMARI and Rachid CHALAL,,WSEAS Transactions on Business and Economics,,2004,1,58-63,journal
ougit2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:ULOm3_A8WrAC,,,,GHOMARI Abdessamed Réda,18,Outil support au Soutien Logistique Intégré d'un produit,Rachid Chalal and Abdessamed Réda Ghomari and Hamid Kouba and Mourad Tiguercha,,,"COSI'2005 (Colloque d'Optimisation des Systèmes d'information), Oran, Algérie",2005,,,conference
undts2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:IWHjjKOFINEC,,,,GHOMARI Abdessamed Réda,18,Un Système d'Information pour le management des connaissances sur les risques projets,Rachid Chalal and Abdessamed Réda Ghomari and Anne-Marie Alquier,,,"CPI'05, Casablanca, Maroc",2005,,,conference
arcns2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:_kc_bZDykSQC,,,,GHOMARI Abdessamed Réda,18,Architecture d'un portail communautaire dédié à la communauté des enseignants-chercheurs algériens,Ammar Boukrara and Abdessamed Réda Ghomari,,,,2006,,,
cawes2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:roLk4NBRz8UC,http://www.tlainc.com/,,,GHOMARI Abdessamed Réda,18,Capitalizing On Process Knowledge In Bidding Processes,Rachid CHALAL and Abdessamed Réda GHOMARI,,Journal of Knowledge Management Practice,,2006,7,,journal
vents2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:ZeXyd9-uunAC,,,,GHOMARI Abdessamed Réda,18,Vers une approche d'acquisition de connaissances agrégées à base d'agents cognitifs coopérants,Abdessamed Réda GHOMARI,,,"MCSEAI'06,  Agadir, Morocco",2006,,,conference
arans2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:qUcmZB5y_30C,,,,GHOMARI Abdessamed Réda,18,Architecture d'un portail web communautaire dédié à la communauté des enseignants-chercheurs algériens,Amar Boukrara and Abdessamed Réda Ghomari,,,"COSI'07 (Colloque sur l'Optimisation et les Systèmes d'Information), Oran, Algeria",2007,,,conference
buich2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:IjCSPb-OGe4C,,,,GHOMARI Abdessamed Réda,18,Business Knowledge Acquisition Methodological Approach.,Abdessamed Réda Ghomari and Rachid Chalal and Anne-Marie Alquier,http://net2.shams.edu.eg/ecs/May2007_a10.htm,Egypt. Comput. Sci. J.,,2007,29,,journal
prpig2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:hFOr9nPyWt4C,,,,GHOMARI Abdessamed Réda,18,Problématique de l'hétérogénéité spatio-temporelle de l'exposition : apports des SIG,Y Ghomari and A.R and Boumaza and R. Matiben,,,"7ème Congrès Maghrébin de la médecine de travail, Bibliothèque El Hamma, Alger,",2007,,,conference
unnle2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:L8Ckcad2t8MC,,,,GHOMARI Abdessamed Réda,18,Un environnement d'aide à la conception d'un produit durable,Rachid Chalal and Abdessamed Réda Ghomari,,,"CIGI'07 (7ème Congrès international de Génie Industriel), Les trois-Rivières, Quebec,Canada",2007,,,conference
aneon2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:u5HHmVD_uO8C,,,,GHOMARI Abdessamed Réda,18,An approach for a bidding process knowledge capitalization,Rachid Chalal and Abdessamed Réda Ghomari,,International Journal of Industrial and Manufacturing Engineering,,2008,2,,journal
coees2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:tOudhMTPpwUC,,,,GHOMARI Abdessamed Réda,18,Communautés de pratiques (CoP) en  entreprise. Apport des portails web  communautaires,Abdessamed Réda Ghomari,,,Huitièmes Journées Scientifiques  et Techniques (JST8),2008,,,conference
coahe2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:pqnbT2bcN3wC,,,,GHOMARI Abdessamed Réda,18,Communautés de pratiques «instituées» en milieu universitaire: Apports d'un portail web dédié aux enseignants-chercheurs affiliés aux laboratoires de recherche,Abdessamed Réda Ghomari and Amine Amokrane and Adnane Baahmed and Fériel Ferkous,,,,2008,,,
ourls2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:aqlVkmm33-oC,,,,GHOMARI Abdessamed Réda,18,Outil logiciel d'aide à l'évaluation à priori des risques professionnels,Abdessamed Réda Ghomari and Yasmine Boumaza and Rachida Matiben and Meriem Ouaaz and Souhila Boukhedimi and Lotfi Admane,,,"E-Medisys 2008, 2nd International Conference: E-Medical System",2008,,,conference
thaes2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:4JMBOYKVnBMC,,,,GHOMARI Abdessamed Réda,18,Thèse: Approche Méthodologique d'Acquisition de Connaissances Agrégées à base d'Agents cognitifs coopérants pour les systèmes d'aide à la décision stratégiques,Abdessamed Réda GHOMARI,,,,2008,,,
turgn2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:qjMakFHDy7sC,Inderscience Publishers,,,GHOMARI Abdessamed Réda,18,"TUPROD, an assistant Tool for the dUrable PROduct Design",Rachid CHALAL and Abdessamed Réda Ghomari,,International Journal of Environmental Technology and Management,,2008,8,23-36,journal
unent2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:hC7cP41nSMkC,,,,GHOMARI Abdessamed Réda,18,Un modèle de dossier médical unique basé sur le cycle de vie du patient,R. Chalal and F Nader and A.R Ghomari and Haddar and M and L Othmane and L Smaiah,,,"E-Medisys 2008, Sfax, Tunisie",2008,,,conference
acems2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:2osOgNQ5qMEC,IEEE,,IEEE Computer Society,GHOMARI Abdessamed Réda,18,A comparative study: Syntactic versus Semantic matching systems,Leila Ghomari and Abdessamed Réda Ghomari,https://doi.org/10.1109/CISIS.2009.75,,"CISIS'09, Complex, Intelligent and Software Intensive Systems. Fukuoka, Japan",2009,,700-704,conference
qugni2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:1sJd4Hv_s6UC,,,,GHOMARI Abdessamed Réda,18,Quelles exigences pour les stages en entreprises? Cas ESI (ex. INI),Abdessamed Réda Ghomari,,,Jnei'2009 (2èmes Journées d'Etudes et d'Information sur le partenariat Université-Environnement socio-économique),2009,,,conference
reegy2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:9yKSN-GCB0IC,IEEE,,IEEE Computer Society,GHOMARI Abdessamed Réda,18,Reference ontology,Leila Zemmouchi-Ghomari and Abdessamed Réda Ghomari,https://doi.org/10.1109/SITIS.2009.81,,"Signal-Image Technology & Internet-Based Systems (SITIS), Marrakech, Morroco",2009,,485-491,conference
syhdy2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:mB3voiENLucC,,,,GHOMARI Abdessamed Réda,18,Syntactic Versus Semantic Matching Systems: A Comparative Study,Leila Zemmouchi-Ghomari and Abdessamed Réda Ghomari,,,"OnAV'09, (2nd Workshop on Ontology Alignment and Visualization), proceedings IEEE computer society",2009,,,conference
ortes2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:_Qo2XoVZTnwC,,,,GHOMARI Abdessamed Réda,18,Organisations: des Systèmes Socio-techniques,Abdessamed Réda GHOMARI,,,,2010,,,
soesi2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:9ZlFYXVOiuMC,,,,GHOMARI Abdessamed Réda,18,SOA et Web services dédié à une école d'ingénieurs: cas ESI;,M IFTISSEN and A.R GHOMARI and F Nader,,,"WWS'2010, Second Workshop sur les web services, CERIST, Algiers, Algeria",2010,,,conference
tkwhy2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:Tyk-4Ss8FVUC,IEEE,,,GHOMARI Abdessamed Réda,18,TKVM: A method and tool for school web sites knowledge cartography,Noureddine Azzouza and Faiçal Azouaou and Abdessamed Réda Ghomari,,,2010 International Conference on Machine and Web Intelligence,2010,,489-496,conference
arrsi2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:mVmsd5A6BfQC,,,,GHOMARI Abdessamed Réda,18,"Architecturer le Système d'Information support au processus stages conventionnés en entreprise, cas ESI""",Abdessamed Réda GHOMARI,,,ICIST'2011,2011,,,conference
tisns2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:ldfaerwXgEUC,,,,GHOMARI Abdessamed Réda,18,TIC: Analyse des impacts sur les Organisations,Abdessamed Réda GHOMARI,,"Support Pédagogique, Module: Organisation,  4SI, INI, Alger",,2011,,,journal
veeer2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:dfsIfKJdRG4C,,,,GHOMARI Abdessamed Réda,18,"Vers un espace communautaire dédié à l'activité «Encadrement & suivi des stagiaires». Cas pratique: ESI, Alger",Abdessamed Réda GHOMARI and Amine SADOU and Réda OUAFI,,,,2011,,,
enung2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:RGFaLdJalmkC,,,,GHOMARI Abdessamed Réda,18,Entreprises agiles: Apports du «Business Social Networking».,MB Nadir MAHAMMED,,,,2012,,,
onmts2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:UeHWp8X0CEIC,Inderscience Publishers Ltd,,,GHOMARI Abdessamed Réda,18,"Ontology versus terminology, from the perspective of ontologists",Leila Zemmouchi and Abdessamed Réda Ghomari,https://doi.org/10.1504/IJWS.2012.052531,International Journal of Web Science,,2012,1,315-331,journal
anses2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:HDshCWvjkbEC,,,,GHOMARI Abdessamed Réda,18,A New Approach for Human Assessment of Ontologies,Leila Zemmouchi-Ghomari and Abdessamed Réda Ghomari,,,"ICIST'2013, Tanger, Morroco",2013,,,conference
agety2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:Se3iqnhoufwC,,,,GHOMARI Abdessamed Réda,18,"Aggregated search techniques usability,",Kamel Bal and Abdessamed Réda Ghomari and Youssef Amghar,,,CEIS'2013 (15th International Conference on Enterprise Information Systems),2013,,,conference
emtsi2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:J_g5lzvAfSwC,,,,GHOMARI Abdessamed Réda,18,E-Management du Processus «Gestion des Stages en Entreprise». Apport du PRM; cas: ESI,Abdessamed Réda GHOMARI and Tadjeddine MEABIOU,,,"ICIST'2013, Tanger, Morroco",2013,,,conference
proon2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:d1gkVwhDpl0C,,,,GHOMARI Abdessamed Réda,18,Process of building reference ontology for higher education,Leila Zemmouchi and Abdessamed Réda Ghomari,,Proceedings of the World Congress on Engineering,,2013,3,1595-1600,journal
pri132013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:5nxA0vEk-isC,WCE,,,GHOMARI Abdessamed Réda,18,"Process of building reference ontology for higher education, proceedings of the World Congress on Engineering 2013",Leila Zemmouchi-Ghomari and Abdessamed Réda Ghomari,,,"Proceedings of the World Congress on Engineering, London, 2013",2013,,3-5,conference
terts2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:fQNAKQ3IYiAC,,,,GHOMARI Abdessamed Réda,18,Terminologies versus Ontologies from the perspective of ontologists,L Zemmouchi-Ghomari and AR Ghomari,,International Journal of Web Science,,2013,,315-331,journal
toiin2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:Y0pCki6q_DkC,,,,GHOMARI Abdessamed Réda,18,Towards a reference ontology for higher education knowledge domain,Leila Zemmouchi and Abdessamed Réda Ghomari,,International Review on Computers and Software,,2013,8,474-488,journal
trqdy2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=hha1UuUAAAAJ&citation_for_view=hha1UuUAAAAJ:u-x6o8ySG0sC,,,,GHOMARI Abdessamed Réda,18,Translating natural language competency questions into SPARQLQueries: a case study,Leila Zemmouchi-Ghomari and Abdessamed Réda Ghomari,,The First International Conference on Building and Exploring Web Based Environments,,2013,,81-86,journal
